at,csho,dltt,ebit,ebitda,ni,prcc_c,prch_c,prcl_c,exchg
1072.304,39.857,342.515,55.331,,37.28,24.84,24.88,18.5,11
4903,54.514,1577.7,633.6,784.6,400.9,147.82,149.31,96.08,11
4903,54.514,1577.7,633.6,784.6,400.9,147.82,149.31,96.08,11
5470.854,106.213,1375.84,814.482,1313.627,516.32,116.78,122.29,83.64,14
109002,1020.003,7779,2003,2389,1411,15.08,15.63,11.72,14
301.065,6.767,0,22.54,26.285,17.495,38.36,44.0547,31.0671,14
301.5,26.442,166.7,-3.6,2.1,-21.3,1.54,3.69,1.5,14
110.832,10.339,35.595,7.568,10.343,4.747,9.09,9.45,5,14
1790.971,91.488,855.103,944.422,944.422,17.691,4.77,6.84,3.75,11
4107.7,87.8,88.9,433.8,538.7,325.1,73.91,74.63,46.825,11
2860.996,129.331,1063.61,111.56,239.795,59.105,32.76,33.09,25.83,11
6641.201,50.398,1736.659,298.326,467.536,232.854,106.8,114.01,89.31,11
